"","month","NO2_mean","SO2_mean","Ozone_mean","PM2.5_mean","NO2_sd","SO2_sd","Ozone_sd","PM2.5_sd","NO2_median","SO2_median","Ozone_median","PM2.5_median","NO2_IQR","SO2_IQR","Ozone_IQR","PM2.5_IQR"
"1","2019-01",72.7623747412008,8.86735198357043,82.8898691240192,59.2112767894491,14.5011175274027,1.74059858868851,13.0931758544707,11.3978679129598,79.6420833333333,8.83041666666667,80.7175,60.3586956521739,20.7183333333333,2.13205357142857,16.2501071428571,14.6055253623188
"2","2019-02",69.4627403846154,9.47858556298774,72.1745420500552,48.8556377951758,7.05119811743315,2.57126814397549,18.2757852233393,8.61036811497481,69.1489583333333,8.40354166666667,71.515625,47.125,10.3734375000001,3.40114583333336,25.4371199162679,10.8650568181819
"3","2019-03",67.1386209239131,9.97747013614405,68.1988621401564,46.6980125558186,7.88034712229221,2.828438135767,17.9061328758217,8.1986771880368,67.2216666666666,9.57333333333333,67.3970833333333,44.3994565217392,12.9647916666666,3.67541666666663,20.5243749999999,12.1070233585859
"4","2019-04",60.9189148351648,NA,61.4739835164835,41.5353991808154,5.9104592907953,NA,10.0919844035506,6.21206334564141,60.143125,NA,63.2433333333334,40.828125,7.86937500000002,NA,15.0932291666666,8.72792119565218
"5","2019-05",45.0544569922831,3.07088641417627,59.9317559523809,44.9265428799979,6.13120013851195,0.462895311951424,21.1586659907153,8.67493467368435,43.2239583333333,3.16130434782609,52.6691666666667,43.4171401515151,8.06270833333335,0.545631422924895,24.7535416666666,11.4230072463768
"6","2019-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-07",20.9338362068966,NA,15.2975503319769,28.5481994662333,3.02545617825626,NA,3.99840163101204,5.17245125805468,20.5654166666667,NA,14.6270833333333,27.015625,4.2308333333333,NA,4.0508333333334,6.72748447204965
"8","2019-08",18.9586383824217,NA,9.62434320413106,21.1504109852023,2.16409755639858,NA,3.68307235676097,4.17781582884181,19.0583333333333,NA,8.80583333333333,20.58125,2.37270833333335,NA,3.80124999999996,3.32372159090908
"9","2019-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2018-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2018-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2018-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2018-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2018-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2018-07",16.4460978260869,7.83806966873706,8.42249417027417,21.760862365895,1.78595470118601,1.69323643437837,2.34940508806364,3.49865335247937,16.8058333333333,7.55,8.485,21.9782608695652,1.6,3.13291666666666,3.80583333333337,4.8720238095238
"20","2018-08",16.6899199392239,8.69488937764744,4.6327567488385,25.9906046793319,2.13258096916923,1.7680594461768,1.25997028732586,7.48677446864612,16.5029166666667,8.17666666666667,4.28702380952381,24.96875,2.80125,1.92438043478261,1.80308100414079,6.01657196969695
"21","2018-09",26.4757407407408,7.88014311594203,8.85124956082564,31.1780014822134,6.1978699926419,0.879938621375831,3.39831745604073,5.72249956734827,27.52625,7.84354166666667,8.05666666666666,31.5978260869566,10.57125,1.38767210144927,6.18481060606056,7.27580492424245
"22","2018-10",41.0351493369884,8.29357425942454,13.0118018023351,44.8775699668494,13.5205340505906,1.410694837838,6.29752993005268,17.0275990265256,38.3227272727273,7.90086956521739,13.2195833333333,48.5729166666667,22.344375,1.91894021739131,7.3369047619048,24.2056159420289
"23","2018-11",52.3223293258674,7.95952982464396,14.8262825757576,48.4665184453228,13.3767197449432,1.57928054427807,13.8580288632122,17.0127301546984,49.0391666666667,7.72854166666667,11.3083333333334,47.03125,16.4544412878788,1.4199255952381,6.25062500000003,25.7630208333333
"24","2018-12",60.7560448807854,7.98656615240767,69.2378843400045,59.8724698775979,11.4571215559862,1.14292526490699,21.1218668807659,20.2492693369836,62.2304166666667,8.00791666666667,64.5454166666667,60.7083333333333,16.3797916666667,1.33683876811594,26.9222916666666,21.4224514163373
